PUMFID,AGEGR10,SEX,MARSTAT,PRV,LUC_RST,EHG_ALL,GTU_110,GTU_130,DUR01,DUR05,DUR06,DURS200,DURL313,DUR08,DUR13,DUR14,DUR15,MRW_20,MRW_30,MRW_40,MRW_D40A,MRW_D40B,EDM_02,TST_01,TCS_110,TCS_120,TCS_150,TCS_200
17205,5,1,1,24,1,2.0,6.0,6.0,510,0,60,870,0,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,1.0,2.0
17206,5,2,6,35,1,2.0,6.0,1.0,495,90,240,1440,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17207,7,2,3,24,1,1.0,3.0,6.0,390,45,30,1285,0,0,0,0,0,,2.0,2.0,2,2,,8.0,1.0,2.0,2.0,1.0
17208,3,2,1,35,1,7.0,1.0,4.0,460,15,0,135,90,630,0,0,0,,,,1,1,,4.0,2.0,2.0,2.0,2.0
17209,7,2,3,46,2,4.0,,6.0,550,270,0,1440,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17210,2,2,6,59,1,6.0,2.0,2.0,470,55,50,900,0,390,0,0,95,,,,1,1,2.0,2.0,2.0,2.0,1.0,2.0
17211,5,1,1,35,2,4.0,4.0,6.0,400,105,95,355,115,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,1.0,2.0,2.0
17212,6,2,2,35,1,4.0,1.0,6.0,570,150,90,225,100,0,0,0,0,,2.0,1.0,1,2,,8.0,2.0,2.0,2.0,2.0
17213,1,2,2,24,1,4.0,1.0,6.0,450,0,90,850,55,410,0,0,0,,,,1,1,2.0,7.0,2.0,2.0,1.0,2.0
17214,4,1,4,48,2,1.0,5.0,1.0,420,30,30,1200,0,0,0,0,0,,,,1,1,,2.0,2.0,2.0,2.0,2.0
17215,3,2,6,35,1,6.0,2.0,4.0,430,60,60,760,35,470,0,0,0,,,,1,1,,3.0,2.0,1.0,2.0,2.0
17216,4,2,1,35,1,3.0,4.0,3.0,510,30,20,20,20,555,0,0,0,,,,1,1,,3.0,2.0,2.0,2.0,2.0
17217,6,2,1,48,1,4.0,4.0,4.0,530,25,110,210,0,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,2.0,2.0
17218,1,2,6,24,1,1.0,2.0,1.0,540,20,25,110,0,0,455,0,150,1.0,2.0,2.0,2,2,1.0,6.0,2.0,2.0,1.0,2.0
17219,4,1,1,59,1,3.0,2.0,4.0,530,0,20,115,50,445,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
17220,3,1,6,13,1,2.0,6.0,1.0,750,45,30,1300,0,0,0,0,0,,,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17221,4,2,1,35,1,4.0,1.0,6.0,440,0,75,0,0,0,0,0,0,,,,1,1,,1.0,1.0,1.0,2.0,2.0
17222,4,2,1,59,1,2.0,1.0,5.0,380,120,180,120,0,0,0,0,0,,,,1,1,,8.0,1.0,2.0,1.0,2.0
17223,7,1,3,47,2,1.0,4.0,6.0,660,15,105,1310,30,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17224,5,2,6,59,1,4.0,6.0,1.0,625,70,40,1440,20,0,0,0,0,,2.0,2.0,2,2,,3.0,1.0,2.0,2.0,2.0
17225,3,1,2,35,1,4.0,1.0,2.0,570,0,30,1290,90,720,0,0,0,,,,1,1,,1.0,2.0,1.0,2.0,2.0
17226,6,1,2,35,2,1.0,3.0,3.0,540,80,30,165,40,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17227,2,1,6,35,1,2.0,2.0,5.0,555,0,0,915,0,450,0,0,190,2.0,1.0,1.0,1,2,2.0,4.0,1.0,2.0,1.0,2.0
17228,7,2,3,47,1,4.0,2.0,6.0,535,60,60,1050,35,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,1.0,1.0
17229,5,2,1,24,2,3.0,1.0,6.0,570,150,210,30,0,0,0,0,0,,,,1,1,,8.0,1.0,2.0,2.0,2.0
17230,3,1,2,24,1,6.0,5.0,3.0,180,90,184,70,115,531,0,0,0,,,,1,1,,4.0,2.0,2.0,2.0,1.0
17231,3,1,1,35,1,7.0,6.0,6.0,420,0,0,730,0,610,0,0,0,,,,1,1,,,2.0,2.0,1.0,2.0
17232,6,2,5,35,1,6.0,6.0,6.0,720,50,45,765,85,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17233,6,1,6,12,2,7.0,5.0,3.0,450,10,120,1440,70,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,1.0,2.0
17234,3,1,1,24,1,6.0,1.0,5.0,480,35,40,95,150,380,0,0,0,,,,1,1,,2.0,1.0,1.0,1.0,1.0
17235,6,2,5,59,1,,2.0,2.0,645,0,190,1200,0,0,0,0,0,,,,2,2,,,,,,
17236,3,1,2,48,1,3.0,2.0,3.0,690,0,60,705,75,0,0,0,0,,2.0,1.0,1,2,,2.0,2.0,2.0,2.0,2.0
17237,1,1,6,35,1,1.0,4.0,6.0,540,0,195,715,0,120,385,0,95,1.0,2.0,2.0,2,2,1.0,6.0,2.0,2.0,2.0,2.0
17238,7,2,1,12,1,6.0,3.0,5.0,490,50,30,155,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17239,7,2,3,35,1,2.0,4.0,3.0,580,75,0,1440,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,1.0,2.0
17240,4,2,1,46,2,6.0,2.0,3.0,465,60,100,0,0,270,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
17241,7,1,1,35,1,4.0,6.0,6.0,420,0,90,1320,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,1.0,2.0,2.0
17242,4,1,6,11,3,2.0,3.0,6.0,475,120,105,1320,40,0,0,0,0,,,1.0,1,2,,8.0,2.0,2.0,2.0,2.0
17243,2,2,1,46,1,2.0,2.0,4.0,660,0,60,0,95,0,0,0,0,,,,1,1,,4.0,1.0,2.0,2.0,2.0
17244,5,2,1,13,2,2.0,3.0,6.0,435,110,150,370,0,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,1.0,2.0
